Instancia;Run;Tempo(s);CustoFinal;Target;AtingiuTarget?
Instance_L_100_01.txt;1;9.99;29231.00;19666;Nao
Instance_L_100_01.txt;2;9.99;27441.00;19666;Nao
Instance_L_100_01.txt;3;9.99;29065.00;19666;Nao
Instance_L_100_02.txt;1;9.97;13754.00;10258;Nao
Instance_L_100_02.txt;2;9.99;14477.00;10258;Nao
Instance_L_100_02.txt;3;9.99;14534.00;10258;Nao
Instance_L_100_03.txt;1;9.98;28237.00;18512;Nao
Instance_L_100_03.txt;2;9.99;28424.00;18512;Nao
Instance_L_100_03.txt;3;9.98;27575.00;18512;Nao
Instance_L_100_04.txt;1;9.99;27419.00;18853;Nao
Instance_L_100_04.txt;2;9.98;27875.00;18853;Nao
Instance_L_100_04.txt;3;9.97;26702.00;18853;Nao
Instance_L_100_05.txt;1;10.00;31597.00;20879;Nao
Instance_L_100_05.txt;2;9.99;30083.00;20879;Nao
Instance_L_100_05.txt;3;10.00;30855.00;20879;Nao
Instance_L_102_01.txt;1;9.97;26717.00;18175;Nao
Instance_L_102_01.txt;2;9.98;26148.00;18175;Nao
Instance_L_102_01.txt;3;9.98;26290.00;18175;Nao
Instance_L_102_02.txt;1;9.97;26743.00;18417;Nao
Instance_L_102_02.txt;2;9.98;26192.00;18417;Nao
Instance_L_102_02.txt;3;9.97;29604.00;18417;Nao
Instance_L_102_03.txt;1;9.96;31869.00;22373;Nao
Instance_L_102_03.txt;2;10.00;30950.00;22373;Nao
Instance_L_102_03.txt;3;9.99;31805.00;22373;Nao
Instance_L_102_04.txt;1;9.97;29311.00;20888;Nao
Instance_L_102_04.txt;2;9.98;29809.00;20888;Nao
Instance_L_102_04.txt;3;9.98;30239.00;20888;Nao
Instance_L_102_05.txt;1;9.97;30405.00;21616;Nao
Instance_L_102_05.txt;2;9.99;29990.00;21616;Nao
Instance_L_102_05.txt;3;9.98;29848.00;21616;Nao
Instance_L_104_01.txt;1;10.00;28676.00;20373;Nao
Instance_L_104_01.txt;2;10.00;28882.00;20373;Nao
Instance_L_104_01.txt;3;9.98;28006.00;20373;Nao
Instance_L_104_02.txt;1;9.98;15208.00;10491;Nao
Instance_L_104_02.txt;2;9.99;15579.00;10491;Nao
Instance_L_104_02.txt;3;9.99;16378.00;10491;Nao
Instance_L_104_03.txt;1;9.99;28666.00;19318;Nao
Instance_L_104_03.txt;2;10.00;27666.00;19318;Nao
Instance_L_104_03.txt;3;9.99;28329.00;19318;Nao
Instance_L_104_04.txt;1;9.99;26609.00;18962;Nao
Instance_L_104_04.txt;2;10.00;27316.00;18962;Nao
Instance_L_104_04.txt;3;9.98;28075.00;18962;Nao
Instance_L_104_05.txt;1;9.98;30097.00;21139;Nao
Instance_L_104_05.txt;2;9.96;30607.00;21139;Nao
Instance_L_104_05.txt;3;9.97;30934.00;21139;Nao
Instance_L_10_01.txt;1;0.268872;6830;6830;Sim
Instance_L_10_01.txt;2;0.508756;6830;6830;Sim
Instance_L_10_01.txt;3;0.046701;6830;6830;Sim
Instance_L_10_02.txt;1;0.18012;8740;8740;Sim
Instance_L_10_02.txt;2;0.099585;8740;8740;Sim
Instance_L_10_02.txt;3;0.039315;8740;8740;Sim
Instance_L_10_03.txt;1;0.030437;8481;8481;Sim
Instance_L_10_03.txt;2;0.135897;8481;8481;Sim
Instance_L_10_03.txt;3;0.054752;8481;8481;Sim
Instance_L_10_04.txt;1;1.02093;6972;6972;Sim
Instance_L_10_04.txt;2;2.05667;6972;6972;Sim
Instance_L_10_04.txt;3;0.135427;6972;6972;Sim
